Specificity	GO_CC	Population	SpecificInts	CC	Overlap	Pvalue	OverlapGenes
MUT	VCP-NPL4-UFD1 AAA ATPase complex	232	43	0	0	1	
WT	integral component of nuclear inner membrane	232	5	0	0	1	
MUT	integral component of nuclear inner membrane	232	43	0	0	1	
WT	meiotic nuclear membrane microtubule tethering complex	232	5	0	0	1	
MUT	meiotic nuclear membrane microtubule tethering complex	232	43	0	0	1	
WT	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	232	5	0	0	1	
MUT	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	232	43	0	0	1	
WT	HAUS complex	232	5	0	0	1	
MUT	HAUS complex	232	43	0	0	1	
WT	AP-2 adaptor complex	232	5	0	0	1	
MUT	AP-2 adaptor complex	232	43	0	0	1	
WT	clathrin-coated endocytic vesicle membrane	232	5	0	0	1	
MUT	clathrin-coated endocytic vesicle membrane	232	43	0	0	1	
WT	vesicle coat	232	5	0	0	1	
MUT	vesicle coat	232	43	0	0	1	
WT	COPII-coated ER to Golgi transport vesicle	232	5	0	0	1	
MUT	COPII-coated ER to Golgi transport vesicle	232	43	0	0	1	
WT	postsynaptic endosome	232	5	0	0	1	
MUT	postsynaptic endosome	232	43	0	0	1	
WT	integral component of spine apparatus membrane	232	5	0	0	1	
MUT	integral component of spine apparatus membrane	232	43	0	0	1	
WT	type III intermediate filament	232	5	1	0	1	
MUT	type III intermediate filament	232	43	1	1	0.185344827586207	PRPH
WT	astrocyte projection	232	5	0	0	1	
MUT	astrocyte projection	232	43	0	0	1	
WT	condensed nuclear chromosome kinetochore	232	5	0	0	1	
MUT	condensed nuclear chromosome kinetochore	232	43	0	0	1	
WT	male germ cell nucleus	232	5	0	0	1	
MUT	male germ cell nucleus	232	43	0	0	1	
WT	nuclear meiotic cohesin complex	232	5	0	0	1	
MUT	nuclear meiotic cohesin complex	232	43	0	0	1	
WT	intrinsic component of mitochondrial outer membrane	232	5	0	0	1	
MUT	intrinsic component of mitochondrial outer membrane	232	43	0	0	1	
WT	Elongator holoenzyme complex	232	5	0	0	1	
MUT	Elongator holoenzyme complex	232	43	0	0	1	
WT	clathrin coat of endocytic vesicle	232	5	0	0	1	
MUT	clathrin coat of endocytic vesicle	232	43	0	0	1	
WT	histone H3-K14 acetyltransferase complex	232	5	0	0	1	
MUT	histone H3-K14 acetyltransferase complex	232	43	0	0	1	
WT	site of DNA damage	232	5	0	0	1	
MUT	site of DNA damage	232	43	0	0	1	
WT	interleukin-18 receptor complex	232	5	0	0	1	
MUT	interleukin-18 receptor complex	232	43	0	0	1	
WT	serotonin-activated cation-selective channel complex	232	5	0	0	1	
MUT	serotonin-activated cation-selective channel complex	232	43	0	0	1	
WT	BLOC-1 complex	232	5	0	0	1	
MUT	BLOC-1 complex	232	43	0	0	1	
WT	BORC complex	232	5	0	0	1	
MUT	BORC complex	232	43	0	0	1	
WT	intercellular canaliculus	232	5	0	0	1	
MUT	intercellular canaliculus	232	43	0	0	1	
WT	condensin complex	232	5	0	0	1	
MUT	condensin complex	232	43	0	0	1	
WT	condensin core heterodimer	232	5	0	0	1	
MUT	condensin core heterodimer	232	43	0	0	1	
WT	DNA-dependent protein kinase complex	232	5	0	0	1	
MUT	DNA-dependent protein kinase complex	232	43	0	0	1	
WT	Cul5-RING ubiquitin ligase complex	232	5	0	0	1	
MUT	Cul5-RING ubiquitin ligase complex	232	43	0	0	1	
WT	small nuclear ribonucleoprotein complex	232	5	0	0	1	
MUT	small nuclear ribonucleoprotein complex	232	43	0	0	1	
WT	microtubule minus-end	232	5	2	0	1	
MUT	microtubule minus-end	232	43	2	0	1	
WT	low-density lipoprotein particle	232	5	0	0	1	
MUT	low-density lipoprotein particle	232	43	0	0	1	
WT	discoidal high-density lipoprotein particle	232	5	0	0	1	
MUT	discoidal high-density lipoprotein particle	232	43	0	0	1	
WT	spherical high-density lipoprotein particle	232	5	0	0	1	
MUT	spherical high-density lipoprotein particle	232	43	0	0	1	
WT	chaperone complex	232	5	1	0	1	
MUT	chaperone complex	232	43	1	0	1	
WT	bleb	232	5	1	0	1	
MUT	bleb	232	43	1	0	1	
WT	Nem1-Spo7 phosphatase complex	232	5	0	0	1	
MUT	Nem1-Spo7 phosphatase complex	232	43	0	0	1	
WT	NuA4 histone acetyltransferase complex	232	5	1	0	1	
MUT	NuA4 histone acetyltransferase complex	232	43	1	0	1	
WT	neuron projection terminus	232	5	1	0	1	
MUT	neuron projection terminus	232	43	1	0	1	
WT	glycogen granule	232	5	2	0	1	
MUT	glycogen granule	232	43	2	0	1	
WT	MOZ/MORF histone acetyltransferase complex	232	5	0	0	1	
MUT	MOZ/MORF histone acetyltransferase complex	232	43	0	0	1	
WT	zymogen granule	232	5	0	0	1	
MUT	zymogen granule	232	43	0	0	1	
WT	secretory vesicle	232	5	0	0	1	
MUT	secretory vesicle	232	43	0	0	1	
WT	ciliary pocket membrane	232	5	0	0	1	
MUT	ciliary pocket membrane	232	43	0	0	1	
WT	nuclear heterochromatin	232	5	0	0	1	
MUT	nuclear heterochromatin	232	43	0	0	1	
WT	Lsm2-8 complex	232	5	0	0	1	
MUT	Lsm2-8 complex	232	43	0	0	1	
WT	clathrin coat of trans-Golgi network vesicle	232	5	0	0	1	
MUT	clathrin coat of trans-Golgi network vesicle	232	43	0	0	1	
WT	filopodium tip	232	5	1	0	1	
MUT	filopodium tip	232	43	1	0	1	
WT	glial cell projection	232	5	0	0	1	
MUT	glial cell projection	232	43	0	0	1	
WT	dendritic microtubule	232	5	0	0	1	
MUT	dendritic microtubule	232	43	0	0	1	
WT	photoreceptor disc membrane	232	5	0	0	1	
MUT	photoreceptor disc membrane	232	43	0	0	1	
WT	axonemal basal plate	232	5	0	0	1	
MUT	axonemal basal plate	232	43	0	0	1	
WT	cholinergic synapse	232	5	1	0	1	
MUT	cholinergic synapse	232	43	1	0	1	
WT	extrinsic component of synaptic membrane	232	5	0	0	1	
MUT	extrinsic component of synaptic membrane	232	43	0	0	1	
WT	lamellipodium membrane	232	5	1	0	1	
MUT	lamellipodium membrane	232	43	1	1	0.185344827586207	CFL1
WT	polkadots	232	5	0	0	1	
MUT	polkadots	232	43	0	0	1	
WT	CBM complex	232	5	0	0	1	
MUT	CBM complex	232	43	0	0	1	
WT	molybdopterin synthase complex	232	5	0	0	1	
MUT	molybdopterin synthase complex	232	43	0	0	1	
WT	alveolar lamellar body	232	5	0	0	1	
MUT	alveolar lamellar body	232	43	0	0	1	
WT	multivesicular body lumen	232	5	0	0	1	
MUT	multivesicular body lumen	232	43	0	0	1	
WT	Ino80 complex	232	5	0	0	1	
MUT	Ino80 complex	232	43	0	0	1	
WT	cyclin E2-CDK2 complex	232	5	0	0	1	
MUT	cyclin E2-CDK2 complex	232	43	0	0	1	
WT	mitochondrial respiratory chain complex III	232	5	0	0	1	
MUT	mitochondrial respiratory chain complex III	232	43	0	0	1	
WT	hemoglobin complex	232	5	0	0	1	
MUT	hemoglobin complex	232	43	0	0	1	
WT	respiratory chain complex IV	232	5	0	0	1	
MUT	respiratory chain complex IV	232	43	0	0	1	
WT	Shc-EGFR complex	232	5	0	0	1	
MUT	Shc-EGFR complex	232	43	0	0	1	
WT	multivesicular body, internal vesicle lumen	232	5	0	0	1	
MUT	multivesicular body, internal vesicle lumen	232	43	0	0	1	
WT	haptoglobin-hemoglobin complex	232	5	0	0	1	
MUT	haptoglobin-hemoglobin complex	232	43	0	0	1	
WT	endocytic vesicle lumen	232	5	0	0	1	
MUT	endocytic vesicle lumen	232	43	0	0	1	
WT	intrinsic component of external side of plasma membrane	232	5	0	0	1	
MUT	intrinsic component of external side of plasma membrane	232	43	0	0	1	
WT	proton-transporting ATP synthase complex, coupling factor F(o)	232	5	0	0	1	
MUT	proton-transporting ATP synthase complex, coupling factor F(o)	232	43	0	0	1	
WT	cell body fiber	232	5	0	0	1	
MUT	cell body fiber	232	43	0	0	1	
WT	membrane attack complex	232	5	0	0	1	
MUT	membrane attack complex	232	43	0	0	1	
WT	transcription factor AP-1 complex	232	5	0	0	1	
MUT	transcription factor AP-1 complex	232	43	0	0	1	
WT	PCSK9-LDLR complex	232	5	0	0	1	
MUT	PCSK9-LDLR complex	232	43	0	0	1	
WT	cytoplasmic side of rough endoplasmic reticulum membrane	232	5	3	0	1	
MUT	cytoplasmic side of rough endoplasmic reticulum membrane	232	43	3	0	1	
WT	neurosecretory vesicle	232	5	0	0	1	
MUT	neurosecretory vesicle	232	43	0	0	1	
WT	symmetric synapse	232	5	0	0	1	
MUT	symmetric synapse	232	43	0	0	1	
WT	synaptic vesicle lumen	232	5	0	0	1	
MUT	synaptic vesicle lumen	232	43	0	0	1	
WT	neuronal dense core vesicle lumen	232	5	0	0	1	
MUT	neuronal dense core vesicle lumen	232	43	0	0	1	
WT	follicle-stimulating hormone complex	232	5	0	0	1	
MUT	follicle-stimulating hormone complex	232	43	0	0	1	
WT	growth hormone receptor complex	232	5	0	0	1	
MUT	growth hormone receptor complex	232	43	0	0	1	
WT	neuronal dense core vesicle	232	5	0	0	1	
MUT	neuronal dense core vesicle	232	43	0	0	1	
WT	interleukin-2 receptor complex	232	5	0	0	1	
MUT	interleukin-2 receptor complex	232	43	0	0	1	
WT	monomeric IgA immunoglobulin complex	232	5	0	0	1	
MUT	monomeric IgA immunoglobulin complex	232	43	0	0	1	
WT	dimeric IgA immunoglobulin complex	232	5	0	0	1	
MUT	dimeric IgA immunoglobulin complex	232	43	0	0	1	
WT	secretory IgA immunoglobulin complex	232	5	0	0	1	
MUT	secretory IgA immunoglobulin complex	232	43	0	0	1	
WT	secretory dimeric IgA immunoglobulin complex	232	5	0	0	1	
MUT	secretory dimeric IgA immunoglobulin complex	232	43	0	0	1	
WT	pentameric IgM immunoglobulin complex	232	5	0	0	1	
MUT	pentameric IgM immunoglobulin complex	232	43	0	0	1	
WT	hexameric IgM immunoglobulin complex	232	5	0	0	1	
MUT	hexameric IgM immunoglobulin complex	232	43	0	0	1	
WT	MHC class I protein complex	232	5	0	0	1	
MUT	MHC class I protein complex	232	43	0	0	1	
WT	collagen type I trimer	232	5	1	0	1	
MUT	collagen type I trimer	232	43	1	0	1	
WT	collagen type II trimer	232	5	0	0	1	
MUT	collagen type II trimer	232	43	0	0	1	
WT	collagen type III trimer	232	5	0	0	1	
MUT	collagen type III trimer	232	43	0	0	1	
WT	collagen type IV trimer	232	5	0	0	1	
MUT	collagen type IV trimer	232	43	0	0	1	
WT	actin filament bundle	232	5	0	0	1	
MUT	actin filament bundle	232	43	0	0	1	
WT	cardiac myofibril	232	5	0	0	1	
MUT	cardiac myofibril	232	43	0	0	1	
WT	lamin filament	232	5	0	0	1	
MUT	lamin filament	232	43	0	0	1	
WT	spectrin-associated cytoskeleton	232	5	2	0	1	
MUT	spectrin-associated cytoskeleton	232	43	2	0	1	
WT	troponin complex	232	5	0	0	1	
MUT	troponin complex	232	43	0	0	1	
WT	intermediate-density lipoprotein particle	232	5	0	0	1	
MUT	intermediate-density lipoprotein particle	232	43	0	0	1	
WT	chylomicron	232	5	0	0	1	
MUT	chylomicron	232	43	0	0	1	
WT	lipoprotein particle	232	5	0	0	1	
MUT	lipoprotein particle	232	43	0	0	1	
WT	fibrinogen complex	232	5	0	0	1	
MUT	fibrinogen complex	232	43	0	0	1	
WT	acetylcholine-gated channel complex	232	5	0	0	1	
MUT	acetylcholine-gated channel complex	232	43	0	0	1	
WT	complement component C1 complex	232	5	0	0	1	
MUT	complement component C1 complex	232	43	0	0	1	
WT	other organism cell membrane	232	5	0	0	1	
MUT	other organism cell membrane	232	43	0	0	1	
WT	platelet dense granule lumen	232	5	0	0	1	
MUT	platelet dense granule lumen	232	43	0	0	1	
WT	symbiont-containing vacuole membrane	232	5	0	0	1	
MUT	symbiont-containing vacuole membrane	232	43	0	0	1	
WT	host cell cytoplasm	232	5	0	0	1	
MUT	host cell cytoplasm	232	43	0	0	1	
WT	intracellular ferritin complex	232	5	0	0	1	
MUT	intracellular ferritin complex	232	43	0	0	1	
WT	autolysosome	232	5	0	0	1	
MUT	autolysosome	232	43	0	0	1	
WT	transcriptional preinitiation complex	232	5	0	0	1	
MUT	transcriptional preinitiation complex	232	43	0	0	1	
WT	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	232	5	0	0	1	
MUT	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	232	43	0	0	1	
WT	angiogenin-PRI complex	232	5	0	0	1	
MUT	angiogenin-PRI complex	232	43	0	0	1	
WT	rough endoplasmic reticulum lumen	232	5	0	0	1	
MUT	rough endoplasmic reticulum lumen	232	43	0	0	1	
WT	alphav-beta3 integrin-vitronectin complex	232	5	0	0	1	
MUT	alphav-beta3 integrin-vitronectin complex	232	43	0	0	1	
WT	euchromatin	232	5	0	0	1	
MUT	euchromatin	232	43	0	0	1	
WT	sperm head	232	5	0	0	1	
MUT	sperm head	232	43	0	0	1	
WT	vesicle lumen	232	5	0	0	1	
MUT	vesicle lumen	232	43	0	0	1	
WT	mature chylomicron	232	5	0	0	1	
MUT	mature chylomicron	232	43	0	0	1	
WT	chylomicron remnant	232	5	0	0	1	
MUT	chylomicron remnant	232	43	0	0	1	
WT	inclusion body	232	5	0	0	1	
MUT	inclusion body	232	43	0	0	1	
WT	anchored component of external side of plasma membrane	232	5	0	0	1	
MUT	anchored component of external side of plasma membrane	232	43	0	0	1	
WT	neuronal cell body membrane	232	5	0	0	1	
MUT	neuronal cell body membrane	232	43	0	0	1	
WT	macrophage migration inhibitory factor receptor complex	232	5	0	0	1	
MUT	macrophage migration inhibitory factor receptor complex	232	43	0	0	1	
WT	NOS2-CD74 complex	232	5	0	0	1	
MUT	NOS2-CD74 complex	232	43	0	0	1	
WT	Weibel-Palade body	232	5	0	0	1	
MUT	Weibel-Palade body	232	43	0	0	1	
WT	internode region of axon	232	5	1	0	1	
MUT	internode region of axon	232	43	1	0	1	
WT	Golgi medial cisterna	232	5	0	0	1	
MUT	Golgi medial cisterna	232	43	0	0	1	
WT	ERBB3:ERBB2 complex	232	5	0	0	1	
MUT	ERBB3:ERBB2 complex	232	43	0	0	1	
WT	NADPH oxidase complex	232	5	0	0	1	
MUT	NADPH oxidase complex	232	43	0	0	1	
WT	oligosaccharyltransferase complex	232	5	0	0	1	
MUT	oligosaccharyltransferase complex	232	43	0	0	1	
WT	insulin-like growth factor binding protein complex	232	5	1	0	1	
MUT	insulin-like growth factor binding protein complex	232	43	1	0	1	
WT	alphav-beta3 integrin-IGF-1-IGF1R complex	232	5	0	0	1	
MUT	alphav-beta3 integrin-IGF-1-IGF1R complex	232	43	0	0	1	
WT	insulin-like growth factor ternary complex	232	5	1	0	1	
MUT	insulin-like growth factor ternary complex	232	43	1	0	1	
WT	exocytic vesicle	232	5	0	0	1	
MUT	exocytic vesicle	232	43	0	0	1	
WT	photoreceptor inner segment membrane	232	5	0	0	1	
MUT	photoreceptor inner segment membrane	232	43	0	0	1	
WT	cytosolic ribosome	232	5	2	0	1	
MUT	cytosolic ribosome	232	43	2	0	1	
WT	integrin alphav-beta3 complex	232	5	0	0	1	
MUT	integrin alphav-beta3 complex	232	43	0	0	1	
WT	alphav-beta3 integrin-PKCalpha complex	232	5	0	0	1	
MUT	alphav-beta3 integrin-PKCalpha complex	232	43	0	0	1	
WT	alphav-beta3 integrin-HMGB1 complex	232	5	0	0	1	
MUT	alphav-beta3 integrin-HMGB1 complex	232	43	0	0	1	
WT	integrin alphaL-beta2 complex	232	5	0	0	1	
MUT	integrin alphaL-beta2 complex	232	43	0	0	1	
WT	integrin alphaM-beta2 complex	232	5	0	0	1	
MUT	integrin alphaM-beta2 complex	232	43	0	0	1	
WT	cytoplasmic region	232	5	0	0	1	
MUT	cytoplasmic region	232	43	0	0	1	
WT	inhibin-betaglycan-ActRII complex	232	5	0	0	1	
MUT	inhibin-betaglycan-ActRII complex	232	43	0	0	1	
WT	inhibin A complex	232	5	0	0	1	
MUT	inhibin A complex	232	43	0	0	1	
WT	inhibin B complex	232	5	0	0	1	
MUT	inhibin B complex	232	43	0	0	1	
WT	presynaptic cytosol	232	5	1	0	1	
MUT	presynaptic cytosol	232	43	1	0	1	
WT	postsynaptic cytosol	232	5	2	0	1	
MUT	postsynaptic cytosol	232	43	2	0	1	
WT	platelet dense tubular network	232	5	0	0	1	
MUT	platelet dense tubular network	232	43	0	0	1	
WT	protein C inhibitor-TMPRSS7 complex	232	5	0	0	1	
MUT	protein C inhibitor-TMPRSS7 complex	232	43	0	0	1	
WT	protein C inhibitor-TMPRSS11E complex	232	5	0	0	1	
MUT	protein C inhibitor-TMPRSS11E complex	232	43	0	0	1	
WT	protein C inhibitor-PLAT complex	232	5	0	0	1	
MUT	protein C inhibitor-PLAT complex	232	43	0	0	1	
WT	protein C inhibitor-PLAU complex	232	5	0	0	1	
MUT	protein C inhibitor-PLAU complex	232	43	0	0	1	
WT	protein C inhibitor-thrombin complex	232	5	0	0	1	
MUT	protein C inhibitor-thrombin complex	232	43	0	0	1	
WT	protein C inhibitor-KLK3 complex	232	5	0	0	1	
MUT	protein C inhibitor-KLK3 complex	232	43	0	0	1	
WT	protein C inhibitor-plasma kallikrein complex	232	5	0	0	1	
MUT	protein C inhibitor-plasma kallikrein complex	232	43	0	0	1	
WT	protein C inhibitor-coagulation factor V complex	232	5	0	0	1	
MUT	protein C inhibitor-coagulation factor V complex	232	43	0	0	1	
WT	protein C inhibitor-coagulation factor Xa complex	232	5	0	0	1	
MUT	protein C inhibitor-coagulation factor Xa complex	232	43	0	0	1	
WT	protein C inhibitor-coagulation factor XI complex	232	5	0	0	1	
MUT	protein C inhibitor-coagulation factor XI complex	232	43	0	0	1	
WT	extracellular membrane-bounded organelle	232	5	0	0	1	
MUT	extracellular membrane-bounded organelle	232	43	0	0	1	
WT	polysome	232	5	3	0	1	
MUT	polysome	232	43	3	0	1	
WT	eukaryotic translation initiation factor 2 complex	232	5	0	0	1	
MUT	eukaryotic translation initiation factor 2 complex	232	43	0	0	1	
WT	eukaryotic translation initiation factor 2B complex	232	5	0	0	1	
MUT	eukaryotic translation initiation factor 2B complex	232	43	0	0	1	
WT	translation initiation ternary complex	232	5	0	0	1	
MUT	translation initiation ternary complex	232	43	0	0	1	
WT	glial limiting end-foot	232	5	0	0	1	
MUT	glial limiting end-foot	232	43	0	0	1	
WT	interleukin-6 receptor complex	232	5	0	0	1	
MUT	interleukin-6 receptor complex	232	43	0	0	1	
WT	cytosolic large ribosomal subunit	232	5	20	1	0.365474468006171	RPLP2
MUT	cytosolic large ribosomal subunit	232	43	20	2	0.917679162943681	RPL24,RPL8
WT	sarcoplasm	232	5	0	0	1	
MUT	sarcoplasm	232	43	0	0	1	
WT	integrin alpha1-beta1 complex	232	5	0	0	1	
MUT	integrin alpha1-beta1 complex	232	43	0	0	1	
WT	integrin alpha2-beta1 complex	232	5	0	0	1	
MUT	integrin alpha2-beta1 complex	232	43	0	0	1	
WT	integrin alpha3-beta1 complex	232	5	0	0	1	
MUT	integrin alpha3-beta1 complex	232	43	0	0	1	
WT	integrin alpha5-beta1 complex	232	5	0	0	1	
MUT	integrin alpha5-beta1 complex	232	43	0	0	1	
WT	integrin alpha7-beta1 complex	232	5	0	0	1	
MUT	integrin alpha7-beta1 complex	232	43	0	0	1	
WT	integrin alpha8-beta1 complex	232	5	0	0	1	
MUT	integrin alpha8-beta1 complex	232	43	0	0	1	
WT	integrin alpha11-beta1 complex	232	5	0	0	1	
MUT	integrin alpha11-beta1 complex	232	43	0	0	1	
WT	myelin sheath abaxonal region	232	5	0	0	1	
MUT	myelin sheath abaxonal region	232	43	0	0	1	
WT	invadopodium membrane	232	5	0	0	1	
MUT	invadopodium membrane	232	43	0	0	1	
WT	integral component of synaptic membrane	232	5	0	0	1	
MUT	integral component of synaptic membrane	232	43	0	0	1	
WT	muscle myosin complex	232	5	1	0	1	
MUT	muscle myosin complex	232	43	1	0	1	
WT	collagen type V trimer	232	5	0	0	1	
MUT	collagen type V trimer	232	43	0	0	1	
WT	insulin receptor complex	232	5	1	0	1	
MUT	insulin receptor complex	232	43	1	1	0.185344827586207	SORBS1
WT	nuclear lumen	232	5	0	0	1	
MUT	nuclear lumen	232	43	0	0	1	
WT	Rb-E2F complex	232	5	0	0	1	
MUT	Rb-E2F complex	232	43	0	0	1	
WT	cyclin-dependent protein kinase holoenzyme complex	232	5	0	0	1	
MUT	cyclin-dependent protein kinase holoenzyme complex	232	43	0	0	1	
WT	cyclin B1-CDK1 complex	232	5	0	0	1	
MUT	cyclin B1-CDK1 complex	232	43	0	0	1	
WT	mitochondrial proton-transporting ATP synthase, catalytic core	232	5	0	0	1	
MUT	mitochondrial proton-transporting ATP synthase, catalytic core	232	43	0	0	1	
WT	proton-transporting ATP synthase complex	232	5	0	0	1	
MUT	proton-transporting ATP synthase complex	232	43	0	0	1	
WT	RISC complex	232	5	0	0	1	
MUT	RISC complex	232	43	0	0	1	
WT	integral component of external side of plasma membrane	232	5	0	0	1	
MUT	integral component of external side of plasma membrane	232	43	0	0	1	
WT	muscle thin filament tropomyosin	232	5	3	0	1	
MUT	muscle thin filament tropomyosin	232	43	3	0	1	
WT	integrin alphav-beta5 complex	232	5	0	0	1	
MUT	integrin alphav-beta5 complex	232	43	0	0	1	
WT	integrin alphav-beta6 complex	232	5	0	0	1	
MUT	integrin alphav-beta6 complex	232	43	0	0	1	
WT	integrin alphav-beta8 complex	232	5	0	0	1	
MUT	integrin alphav-beta8 complex	232	43	0	0	1	
WT	varicosity	232	5	1	0	1	
MUT	varicosity	232	43	1	0	1	
WT	melanosome membrane	232	5	0	0	1	
MUT	melanosome membrane	232	43	0	0	1	
WT	protein-lipid complex	232	5	0	0	1	
MUT	protein-lipid complex	232	43	0	0	1	
WT	apical cortex	232	5	0	0	1	
MUT	apical cortex	232	43	0	0	1	
WT	postsynaptic intermediate filament cytoskeleton	232	5	2	0	1	
MUT	postsynaptic intermediate filament cytoskeleton	232	43	2	0	1	
WT	presynaptic intermediate filament cytoskeleton	232	5	1	0	1	
MUT	presynaptic intermediate filament cytoskeleton	232	43	1	0	1	
WT	neurofibrillary tangle	232	5	2	0	1	
MUT	neurofibrillary tangle	232	43	2	1	0.336990595611285	NEFM
WT	nuclear pericentric heterochromatin	232	5	0	0	1	
MUT	nuclear pericentric heterochromatin	232	43	0	0	1	
WT	vacuolar membrane	232	5	0	0	1	
MUT	vacuolar membrane	232	43	0	0	1	
WT	procollagen-proline 4-dioxygenase complex	232	5	0	0	1	
MUT	procollagen-proline 4-dioxygenase complex	232	43	0	0	1	
WT	endoplasmic reticulum chaperone complex	232	5	1	0	1	
MUT	endoplasmic reticulum chaperone complex	232	43	1	1	0.185344827586207	HSPA5
WT	CSF1-CSF1R complex	232	5	0	0	1	
MUT	CSF1-CSF1R complex	232	43	0	0	1	
WT	myelin sheath adaxonal region	232	5	0	0	1	
MUT	myelin sheath adaxonal region	232	43	0	0	1	
WT	macropinosome	232	5	0	0	1	
MUT	macropinosome	232	43	0	0	1	
WT	AnxA2-p11 complex	232	5	0	0	1	
MUT	AnxA2-p11 complex	232	43	0	0	1	
WT	PCSK9-AnxA2 complex	232	5	0	0	1	
MUT	PCSK9-AnxA2 complex	232	43	0	0	1	
WT	collagen type VI trimer	232	5	0	0	1	
MUT	collagen type VI trimer	232	43	0	0	1	
WT	endolysosome lumen	232	5	0	0	1	
MUT	endolysosome lumen	232	43	0	0	1	
WT	mitochondrial respirasome	232	5	0	0	1	
MUT	mitochondrial respirasome	232	43	0	0	1	
WT	laminin-1 complex	232	5	2	0	1	
MUT	laminin-1 complex	232	43	2	1	0.336990595611285	LAMC1
WT	laminin-2 complex	232	5	1	0	1	
MUT	laminin-2 complex	232	43	1	0	1	
WT	laminin-8 complex	232	5	1	0	1	
MUT	laminin-8 complex	232	43	1	0	1	
WT	postsynaptic specialization, intracellular component	232	5	0	0	1	
MUT	postsynaptic specialization, intracellular component	232	43	0	0	1	
WT	tricarboxylic acid cycle enzyme complex	232	5	0	0	1	
MUT	tricarboxylic acid cycle enzyme complex	232	43	0	0	1	
WT	lamellar body	232	5	0	0	1	
MUT	lamellar body	232	43	0	0	1	
WT	nucleotide-excision repair complex	232	5	0	0	1	
MUT	nucleotide-excision repair complex	232	43	0	0	1	
WT	nucleotide-excision repair factor 1 complex	232	5	0	0	1	
MUT	nucleotide-excision repair factor 1 complex	232	43	0	0	1	
WT	ERCC4-ERCC1 complex	232	5	0	0	1	
MUT	ERCC4-ERCC1 complex	232	43	0	0	1	
WT	protein kinase complex	232	5	0	0	1	
MUT	protein kinase complex	232	43	0	0	1	
WT	asymmetric synapse	232	5	0	0	1	
MUT	asymmetric synapse	232	43	0	0	1	
WT	amino acid transport complex	232	5	0	0	1	
MUT	amino acid transport complex	232	43	0	0	1	
WT	keratohyalin granule	232	5	0	0	1	
MUT	keratohyalin granule	232	43	0	0	1	
WT	6-phosphofructokinase complex	232	5	0	0	1	
MUT	6-phosphofructokinase complex	232	43	0	0	1	
WT	HSP90-CDC37 chaperone complex	232	5	0	0	1	
MUT	HSP90-CDC37 chaperone complex	232	43	0	0	1	
WT	sperm head plasma membrane	232	5	0	0	1	
MUT	sperm head plasma membrane	232	43	0	0	1	
WT	ooplasm	232	5	0	0	1	
MUT	ooplasm	232	43	0	0	1	
WT	signal recognition particle receptor complex	232	5	2	0	1	
MUT	signal recognition particle receptor complex	232	43	2	0	1	
WT	activin A complex	232	5	0	0	1	
MUT	activin A complex	232	43	0	0	1	
WT	plasma lipoprotein particle	232	5	0	0	1	
MUT	plasma lipoprotein particle	232	43	0	0	1	
WT	U1 snRNP	232	5	1	0	1	
MUT	U1 snRNP	232	43	1	0	1	
WT	serine-type peptidase complex	232	5	0	0	1	
MUT	serine-type peptidase complex	232	43	0	0	1	
WT	terminal web	232	5	0	0	1	
MUT	terminal web	232	43	0	0	1	
WT	endothelial microparticle	232	5	0	0	1	
MUT	endothelial microparticle	232	43	0	0	1	
WT	ciliary neurotrophic factor receptor complex	232	5	0	0	1	
MUT	ciliary neurotrophic factor receptor complex	232	43	0	0	1	
WT	multivesicular body, internal vesicle	232	5	0	0	1	
MUT	multivesicular body, internal vesicle	232	43	0	0	1	
WT	chromaffin granule lumen	232	5	0	0	1	
MUT	chromaffin granule lumen	232	43	0	0	1	
WT	chromaffin granule membrane	232	5	0	0	1	
MUT	chromaffin granule membrane	232	43	0	0	1	
WT	TRAF2-GSTP1 complex	232	5	0	0	1	
MUT	TRAF2-GSTP1 complex	232	43	0	0	1	
WT	commitment complex	232	5	0	0	1	
MUT	commitment complex	232	43	0	0	1	
WT	U2-type prespliceosome	232	5	2	0	1	
MUT	U2-type prespliceosome	232	43	2	0	1	
WT	nuclear nucleosome	232	5	0	0	1	
MUT	nuclear nucleosome	232	43	0	0	1	
WT	clathrin coat	232	5	0	0	1	
MUT	clathrin coat	232	43	0	0	1	
WT	clathrin complex	232	5	0	0	1	
MUT	clathrin complex	232	43	0	0	1	
WT	acrosomal matrix	232	5	0	0	1	
MUT	acrosomal matrix	232	43	0	0	1	
WT	oxoglutarate dehydrogenase complex	232	5	0	0	1	
MUT	oxoglutarate dehydrogenase complex	232	43	0	0	1	
WT	alpha DNA polymerase:primase complex	232	5	0	0	1	
MUT	alpha DNA polymerase:primase complex	232	43	0	0	1	
WT	other organism cell	232	5	0	0	1	
MUT	other organism cell	232	43	0	0	1	
WT	Ctf18 RFC-like complex	232	5	0	0	1	
MUT	Ctf18 RFC-like complex	232	43	0	0	1	
WT	catalytic complex	232	5	1	0	1	
MUT	catalytic complex	232	43	1	1	0.185344827586207	CALM3
WT	Myb complex	232	5	0	0	1	
MUT	Myb complex	232	43	0	0	1	
WT	mitochondrial pyruvate dehydrogenase complex	232	5	0	0	1	
